theme,start,end,days,peak_return,avg_return
biotech_innovation,2020-11-27,2020-11-30,2,0.05548731997423281,0.04256299373907925
cloud,2020-11-27,2020-11-27,1,0.04301758947324911,0.04301758947324911
consumer_internet_marketplaces,2020-11-27,2020-11-27,1,0.030006600885680048,0.030006600885680048
crypto_infrastructure,2020-11-30,2020-11-30,1,0.17561994155012697,0.17561994155012697
retail_consumer,2020-11-30,2020-11-30,1,-0.002735527627895365,-0.002735527627895365
copper,2020-12-01,2020-12-03,3,0.03125462929587849,0.025015407665618827
copper_metals,2020-12-01,2020-12-01,1,0.05006345925000207,0.05006345925000207
gold_silver_miners,2020-12-01,2020-12-01,1,0.05445511985127101,0.05445511985127101
nuclear,2020-12-02,2020-12-02,1,0.058397763710421116,0.058397763710421116
nuclear_uranium,2020-12-02,2020-12-04,3,0.09483652299207256,0.048038274144229155
uranium,2020-12-02,2020-12-02,1,0.07223382402573057,0.07223382402573057
semicap_equipment,2020-12-03,2020-12-07,3,0.03988331061251163,0.02785062810106857
storage,2020-12-03,2020-12-04,2,0.04406461090307407,0.02703802778452498
gold_silver_miners,2020-12-07,2020-12-07,1,0.04449092873896278,0.04449092873896278
silver,2020-12-07,2020-12-07,1,0.032273248405376584,0.032273248405376584
cloud,2020-12-08,2020-12-08,1,0.015085887858514205,0.015085887858514205
cybersecurity,2020-12-08,2020-12-08,1,0.022463940467767323,0.022463940467767323
oil_services,2020-12-08,2020-12-10,3,0.06084080251067543,0.0273230643860506
construction_infrastructure,2020-12-09,2020-12-09,1,0.0019925880335128266,0.0019925880335128266
energy,2020-12-09,2020-12-09,1,-0.00012056467254981469,-0.00012056467254981469
oil_gas,2020-12-09,2020-12-10,2,0.04857242956504592,0.024859520175455077
oil_exploration,2020-12-10,2020-12-10,1,0.05748160881427945,0.05748160881427945
biotech_innovation,2020-12-11,2020-12-11,1,0.020077641516538142,0.020077641516538142
nuclear,2020-12-11,2020-12-15,3,0.06273425410428271,0.05273055027140542
uranium,2020-12-11,2020-12-15,3,0.06426111767536191,0.04811846528060485
consumer_internet_marketplaces,2020-12-14,2020-12-16,3,0.02165957750930265,0.011802082518747405
dev_tools,2020-12-14,2020-12-16,3,0.018797883938045247,0.011515850927112506
solar,2020-12-15,2020-12-18,4,0.07635605723562758,0.02562137896046061
gold_silver_miners,2020-12-16,2020-12-21,4,0.05210764221240166,0.020560147502666454
homebuilders_housing,2020-12-17,2020-12-17,1,0.03636216700192909,0.03636216700192909
silver,2020-12-17,2020-12-21,3,0.047676416324492425,0.014563001669430573
cybersecurity,2020-12-18,2020-12-18,1,0.05161661348525362,0.05161661348525362
medtech_devices,2020-12-18,2020-12-18,1,0.0031071667407420733,0.0031071667407420733
crypto_infrastructure,2020-12-21,2020-12-22,2,0.12509960480382615,0.11954290845333056
business_apps,2020-12-22,2020-12-24,3,0.03282512817144058,0.004019860610861615
rare_earth_critical_minerals,2020-12-22,2020-12-23,2,0.0991464399054145,0.06992517498713643
drones_autonomy,2020-12-23,2020-12-23,1,0.02412504083891981,0.02412504083891981
space_satellites,2020-12-23,2020-12-23,1,0.01461005842656969,0.01461005842656969
construction_infrastructure,2020-12-24,2020-12-24,1,0.004326975773184899,0.004326975773184899
retail_consumer,2020-12-24,2020-12-24,1,-0.002246905253036285,-0.002246905253036285
crypto_infrastructure,2020-12-28,2020-12-28,1,0.12472780600372366,0.12472780600372366
lithium_battery_materials,2020-12-28,2020-12-28,1,0.00669500066875992,0.00669500066875992
managed_care_insurance,2020-12-28,2020-12-31,4,0.030799837127112872,0.011491596476798264
healthcare,2020-12-29,2020-12-29,1,0.0039000836753956066,0.0039000836753956066
obesity_glp1_health,2020-12-29,2020-12-29,1,0.011103210750623482,0.011103210750623482
defense,2020-12-30,2020-12-30,1,0.009236144673288909,0.009236144673288909
gold_silver_miners,2020-12-30,2020-12-30,1,0.04800468528774576,0.04800468528774576
silver,2020-12-30,2020-12-30,1,0.04379036134967488,0.04379036134967488
fintech,2020-12-31,2020-12-31,1,0.016161360780546585,0.016161360780546585
payments,2020-12-31,2020-12-31,1,0.00788776818711781,0.00788776818711781
copper_metals,2021-01-04,2021-01-04,1,0.04230859885666443,0.04230859885666443
gold_silver_miners,2021-01-04,2021-01-04,1,0.07576632803619635,0.07576632803619635
silver,2021-01-04,2021-01-04,1,0.05925092122143875,0.05925092122143875
oil_exploration,2021-01-05,2021-01-05,1,0.07945712902297696,0.07945712902297696
oil_gas,2021-01-05,2021-01-06,2,0.0630231439646354,0.04937288400834425
oil_services,2021-01-05,2021-01-05,1,0.08874949278372375,0.08874949278372375
agriculture_food_inputs,2021-01-06,2021-01-06,1,0.04423584313914574,0.04423584313914574
regional_banks,2021-01-06,2021-01-07,2,0.0757819224767311,0.05061838650632847
managed_care,2021-01-07,2021-01-07,1,0.028059027593430423,0.028059027593430423
semicap_equipment,2021-01-07,2021-01-07,1,0.03869004759946716,0.03869004759946716
china_internet,2021-01-08,2021-01-08,1,0.04485628983754716,0.04485628983754716
copper,2021-01-08,2021-01-08,1,-0.008778071287155742,-0.008778071287155742
gaming_sports_betting,2021-01-08,2021-01-08,1,0.029846743973183234,0.029846743973183234
energy,2021-01-11,2021-01-12,2,0.04053494452079627,0.025680233871006
natural_gas,2021-01-11,2021-01-11,1,0.048571422382818766,0.048571422382818766
oil_gas,2021-01-11,2021-01-12,2,0.04933951624075817,0.03166047240925202
oil_exploration,2021-01-12,2021-01-12,1,0.07192193776200687,0.07192193776200687
consumer_internet_marketplaces,2021-01-13,2021-01-13,1,0.016382002476423664,0.016382002476423664
space_satellites,2021-01-13,2021-01-13,1,0.0356085200531871,0.0356085200531871
utilities_yield,2021-01-13,2021-01-13,1,0.019089866617755743,0.019089866617755743
advanced_packaging,2021-01-14,2021-01-14,1,0.05060785247873597,0.05060785247873597
semicap_equipment,2021-01-14,2021-01-14,1,0.043051994024522124,0.043051994024522124
semis,2021-01-14,2021-01-14,1,0.02691507518912874,0.02691507518912874
networking_optical,2021-01-15,2021-01-15,1,-0.010232907298114827,-0.010232907298114827
obesity_glp1_health,2021-01-15,2021-01-15,1,0.023050428282087882,0.023050428282087882
retail_consumer,2021-01-15,2021-01-15,1,-0.012009251516558486,-0.012009251516558486
drones_autonomy,2021-01-19,2021-01-22,4,0.04494254720629495,0.016236080059286544
semicap_equipment,2021-01-19,2021-01-19,1,0.047538004246716725,0.047538004246716725
semis,2021-01-19,2021-01-19,1,0.03712252057937323,0.03712252057937323
cybersecurity,2021-01-20,2021-01-22,3,0.013124562047413116,0.00548545581870746
homebuilders_housing,2021-01-20,2021-01-22,3,0.03691943514153486,0.019220235083181287
real_estate_reits,2021-01-20,2021-01-20,1,0.020559318588196363,0.020559318588196363
digital_ads_media,2021-01-21,2021-01-21,1,0.0167456196149104,0.0167456196149104
semis_compute,2021-01-21,2021-01-21,1,0.011875863522995725,0.011875863522995725
ai_apps_agents,2021-01-25,2021-01-27,3,0.03739058386750635,0.010680365695324186
china_internet,2021-01-25,2021-01-25,1,0.006939540715854572,0.006939540715854572
consumer_internet_marketplaces,2021-01-25,2021-01-25,1,0.013641206747053897,0.013641206747053897
mega_cap_platforms,2021-01-26,2021-01-26,1,0.003452856668705226,0.003452856668705226
nuclear_uranium,2021-01-26,2021-01-26,1,0.030112004257554066,0.030112004257554066
networking_optical,2021-01-27,2021-01-29,3,0.052014296111003756,0.00015712982745385578
storage,2021-01-27,2021-01-27,1,0.03416288223535981,0.03416288223535981
asset_managers_alts,2021-01-28,2021-01-28,1,0.023997567757943046,0.023997567757943046
gold_silver_miners,2021-01-28,2021-02-01,3,0.11203678418242456,0.06984134264169349
silver,2021-01-28,2021-01-29,2,0.10314944605139363,0.06536063085771719
datacenter_reits_towers,2021-02-01,2021-02-01,1,0.030226295398856167,0.030226295398856167
uranium,2021-02-01,2021-02-09,7,0.12714653537719334,0.04592602481664921
biotech_innovation,2021-02-02,2021-02-02,1,0.02543613990397862,0.02543613990397862
